Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed Units,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,2753862,-,-,-,42.32,-72.91,-5,271,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.2.2
Year,Month,Day,Hour,Minute,GHI,DNI
2020,1,1,0,0,0,0
2020,1,1,0,15,0,0
2020,1,1,0,30,0,0
2020,1,1,0,45,0,0
2020,1,1,1,0,0,0
2020,1,1,1,15,0,0
2020,1,1,1,30,0,0
2020,1,1,1,45,0,0
2020,1,1,2,0,0,0
2020,1,1,2,15,0,0
2020,1,1,2,30,0,0
2020,1,1,2,45,0,0
2020,1,1,3,0,0,0
2020,1,1,3,15,0,0
2020,1,1,3,30,0,0
2020,1,1,3,45,0,0
2020,1,1,4,0,0,0
2020,1,1,4,15,0,0
2020,1,1,4,30,0,0
2020,1,1,4,45,0,0
2020,1,1,5,0,0,0
2020,1,1,5,15,0,0
2020,1,1,5,30,0,0
2020,1,1,5,45,0,0
2020,1,1,6,0,0,0
2020,1,1,6,15,0,0
2020,1,1,6,30,0,0
2020,1,1,6,45,0,0
2020,1,1,7,0,0,0
2020,1,1,7,15,0,0
2020,1,1,7,30,4,0
2020,1,1,7,45,13,0
2020,1,1,8,0,22,0
2020,1,1,8,15,35,0
2020,1,1,8,30,71,59
2020,1,1,8,45,75,18
2020,1,1,9,0,89,20
2020,1,1,9,15,149,186
2020,1,1,9,30,155,138
2020,1,1,9,45,181,174
2020,1,1,10,0,182,129
2020,1,1,10,15,232,256
2020,1,1,10,30,244,251
2020,1,1,10,45,207,108
2020,1,1,11,0,171,33
2020,1,1,11,15,115,0
2020,1,1,11,30,183,40
2020,1,1,11,45,248,157
2020,1,1,12,0,440,852
2020,1,1,12,15,321,413
2020,1,1,12,30,323,444
2020,1,1,12,45,274,273
2020,1,1,13,0,340,624
2020,1,1,13,15,351,764
2020,1,1,13,30,369,816
2020,1,1,13,45,346,807
2020,1,1,14,0,320,787
2020,1,1,14,15,291,764
2020,1,1,14,30,242,728
2020,1,1,14,45,228,714
2020,1,1,15,0,192,673
2020,1,1,15,15,62,1
2020,1,1,15,30,44,0
2020,1,1,15,45,23,0
2020,1,1,16,0,12,0
2020,1,1,16,15,7,0
2020,1,1,16,30,0,0
2020,1,1,16,45,0,0
2020,1,1,17,0,0,0
2020,1,1,17,15,0,0
2020,1,1,17,30,0,0
2020,1,1,17,45,0,0
2020,1,1,18,0,0,0
2020,1,1,18,15,0,0
2020,1,1,18,30,0,0
2020,1,1,18,45,0,0
2020,1,1,19,0,0,0
2020,1,1,19,15,0,0
2020,1,1,19,30,0,0
2020,1,1,19,45,0,0
2020,1,1,20,0,0,0
2020,1,1,20,15,0,0
2020,1,1,20,30,0,0
2020,1,1,20,45,0,0
2020,1,1,21,0,0,0
2020,1,1,21,15,0,0
2020,1,1,21,30,0,0
2020,1,1,21,45,0,0
2020,1,1,22,0,0,0
2020,1,1,22,15,0,0
